what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.wst.common.frameworks.ui,1.1.301.v200908101600,"org.eclipse.wst.common.frameworks.ui",1268409618566
started,bundle,org.eclipse.wst.xml.core,1.1.401.v200908242115,"org.eclipse.wst.xml.core",1268409618576
started,bundle,org.eclipse.wst.common.emfworkbench.integration,1.1.301.v200908101600,"org.eclipse.wst.common.emfworkbench.integration",1268409618613
started,bundle,org.eclipse.wst.common.modulecore,1.1.301.v200908101600,"org.eclipse.wst.common.modulecore",1268409618622
started,bundle,org.eclipse.wst.validation,1.2.102.v200905201610,"org.eclipse.wst.validation",1268409618629
started,bundle,org.eclipse.jst.j2ee,1.1.301.v200909030330,"org.eclipse.jst.j2ee",1268409618641
started,bundle,org.eclipse.wst.jsdt.manipulation,1.0.100.v200809240707,"org.eclipse.wst.jsdt.manipulation",1268409618987
started,bundle,org.eclipse.wst.jsdt.core,1.0.201.v200908101420,"org.eclipse.wst.jsdt.core",1268409619110
started,bundle,org.eclipse.wst.jsdt.ui,1.0.200.v200905242047,"org.eclipse.wst.jsdt.ui",1268409619150
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.delete",1268409619623
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1268409619871
activated,editor,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1268409619998
activated,view,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.PackageExplorer",1268409620050
closed,editor,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1268409620050
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1268409625238
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1268409634933
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1268409640603
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.newWizard",1268409641629
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1268409641642
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1268409643237
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.paste",1268409690463
error,log,,,"Ignoring template 'getterbody' since validation failed.",1268409691568
error,log,,,"Ignoring template 'setterbody' since validation failed.",1268409691568
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1268409691884
started,bundle,org.tigris.subversion.clientadapter.javahl,1.6.6,"org.tigris.subversion.clientadapter.javahl",1268409691951
