what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.selectAll",1268451684492
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.copy",1268451684683
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1268451686278
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1268451688517
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1268451688965
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1268451864697
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1268451869127
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1268451877857
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1268451880768
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1268451887966
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1268451889351
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1268451890295
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1268451894281
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1268451896760
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1268451913887
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1268451920231
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.file.save",1268451926821
executed,command,org.eclipse.ui.workbench.texteditor,3.5.0.v20090603,"org.eclipse.ui.edit.text.goto.textStart",1268451928094
executed,command,org.eclipse.ui.workbench.texteditor,3.5.0.v20090603,"org.eclipse.ui.edit.text.delete.line",1268451928567
executed,command,org.eclipse.ui.workbench.texteditor,3.5.0.v20090603,"org.eclipse.ui.edit.text.delete.line",1268451928760
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.file.save",1268451928926
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.selectAll",1268451929536
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.copy",1268451929799
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1268451931255
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1268451932173
